,CompoundName,SMILES,caymanID,casID,Formula
883,SNAP,CC(=O)NC(C(=O)O)C(C)(C)SN=O,82250,67776-06-1,C7H12N2O4S
884,FK-409,CC/C(=C\C(=N/O)C(N)=O)C(C)[N+](=O)[O-],82290,138472-01-2,C8H13N3O4
885,SE 175,COC(=O)c1ccccc1SC(=O)c1ccc(CO[N+](=O)[O-])cc1,82340,258278-64-7,C16H13NO6S
886,Sulpho NONOate,O=NN([O-])S(=O)(=O)[O-].[Na+].[Na+],83300,61142-90-3,N2Na2O5S
887,DAN-1 EE (hydrochloride),CCOC(=O)c1ccc(CNc2cc3ccccc3cc2N)cc1.Cl,85070,1049720-51-5,C20H21ClN2O2
888,Dihydrorhodamine 123,COC(=O)c1ccccc1C1c2ccc(N)cc2Oc2cc(N)ccc21,85100,109244-58-8,C21H18N2O3
889,"2,7-Dichlorodihydrofluorescein diacetate",CC(=O)Oc1cc2c(cc1Cl)C(c1ccccc1C(=O)O)c1cc(Cl)c(OC(C)=O)cc1O2,85155,4091-99-0,C24H16Cl2O7
890,DAF-2,Nc1cc2c(cc1N)C1(OC2=O)c2ccc(O)cc2Oc2cc(O)ccc21,85160,205391-01-1,C20H14N2O5
891,DAF-2 diacetate,CC(=O)Oc1ccc2c(c1)Oc1cc(OC(C)=O)ccc1C21OC(=O)c2cc(N)c(N)cc21,85165,205391-02-2,C24H18N2O7
892,Traumatic Acid,O=C(O)/C=C/CCCCCCCCC(=O)O,88820,6402-36-4,C12H20O4
893,n-Triacontanol,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,88840,593-50-0,C30H62O
894,Pimonidazole,O=[N+]([O-])c1nccn1CC(O)CN1CCCCC1,89130,70132-50-2,C11H18N4O3
895,8-hydroxy Guanine (hydrochloride)	,Cl.Nc1nc(O)c2nc(O)[nH]c2n1,89290,1246818-54-1,C5H6ClN5O2
896,8-Hydroxyguanosine,Nc1nc2c(nc(O)n2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,89300,3868-31-3,C10H13N5O6
897,8-Hydroxy-2'-deoxyguanosine,Nc1nc2c(nc(O)n2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,89320,88847-89-6,C10H13N5O5
898,Hydroxymethyl Uracil,O=c1[nH]cc(CO)c(=O)[nH]1,89360,4433-40-3,C5H6N2O3
899,Sclerotiorin,CC[C@H](C)/C=C(C)/C=C/C1=CC2=C(Cl)C(=O)[C@](C)(OC(C)=O)C(=O)C2=CO1,89460,549-23-5,C21H23ClO5
900,Nitrotyrosine,N[C@@H](Cc1ccc(O)c([N+](=O)[O-])c1)C(=O)O,89540,621-44-3,C9H10N2O5
901,.gamma.-CEHC,Cc1c(O)cc2c(c1C)OC(C)(CCC(=O)O)CC2,89630,178167-75-4,C15H20O4
902,Trichostatin A,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,89730,58880-19-6,C17H22N2O3
903,CAY10398,CN(C)c1ccc(C(=O)NCCCCCC(=O)NO)cc1,89740,193551-00-7,C15H23N3O3
904,Carnosol,CC(C)c1cc2c(c(O)c1O)C13CCCC(C)(C)C1CC2OC3=O,89800,5957-80-2,C20H26O4
905,BHT,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,89910,128-37-0,C15H24O
906,Arachidonic Acid,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,90010,506-32-1,C20H32O2
907,.omega.-3 Arachidonic Acid,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,90011,24880-40-8,C20H32O2
908,Arachidonic Acid methyl ester,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC,90014,2566-89-4,C21H34O2
909,"5,6-dehydro Arachidonic Acid",CCCCC/C=C\C/C=C\C/C=C\CC#CCCCC(=O)O,90020,58688-54-3,C20H30O2
910,20-HETE,O=C(O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCO,90030,79551-86-3,C20H32O3
911,Arachidonoyl Ethanolamide,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,90050,94421-68-8,C22H37NO2
912,Arachidonoyl Glycine,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,90051,179113-91-8,C22H35NO3
913,Arvanil,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCc1ccc(O)c(OC)c1,90052,128007-31-8,C28H41NO3
914,Arachidonoyl-2'-Fluoroethylamide,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCF,90054,166100-37-4,C22H36FNO
915,N-Arachidonoyl Dopamine,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCc1ccc(O)c(O)c1,90057,199875-69-9,C28H41NO3
916,Arachidonoyl m-Nitroaniline,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)Nc1cccc([N+](=O)[O-])c1,90059,1175954-87-6,C26H36N2O3
917,AM404,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)Nc1ccc(O)cc1,90060,183718-77-6,C26H37NO2
918,N-Arachidonoyl-L-Alanine,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)N[C@@H](C)C(=O)O,90065,401941-73-9,C23H37NO3
919,N-Arachidonoyl-.gamma.-Aminobutyric Acid,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCCC(=O)O,90067,128201-89-8,C24H39NO3
920,R-1 Methanandamide,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)N[C@H](C)CO,90070,157182-49-5,C23H39NO2
921,S-1 Methanandamide,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)N[C@@H](C)CO,90072,157182-50-8,C23H39NO2
922,R-2 Methanandamide,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NC[C@@H](C)O,90074,157182-47-3,C23H39NO2
923,S-2 Methanandamide,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NC[C@H](C)O,90076,157182-48-4,C23H39NO2
924,"(-)-CP 55,940",CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1,90084,83002-04-4,C24H40O3
925,HU-308,CCCCCCC(C)(C)c1cc(OC)c([C@H]2C=C(CO)[C@H]3C[C@@H]2C3(C)C)c(OC)c1,90086,256934-39-1,C27H42O3
926,Eicosapentaenoic Acid,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,90110,10417-94-4,C20H30O2
927,"5,8,11,14-Eicosatetraynoic Acid",CCCCCC#CCC#CCC#CCC#CCCCC(=O)O,90120,1191-85-1,C20H24O2
928,"9(Z),11(E)-Conjugated Linoleic Acid",CCCCCC/C=C/C=C\CCCCCCCC(=O)O,90140,2540-56-9,C18H32O2
929,"10(E),12(Z)-Conjugated Linoleic Acid",CCCCC/C=C\C=C\CCCCCCCCC(=O)O,90145,2420-56-6,C18H32O2
930,Linoleic Acid,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,90150,60-33-3,C18H32O2
931,Linoleoyl Ethanolamide,CCCCC/C=C\C/C=C\CCCCCCCC(=O)NCCO,90155,68171-52-8,C20H37NO2
932,Linoelaidic Acid,CCCCC/C=C/C/C=C/CCCCCCCC(=O)O,90160,506-21-8,C18H32O2
933,Docosapentaenoic Acid,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O,90165,24880-45-3,C22H34O2
934,Docosatrienoic Acid,CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)O,90170,28845-86-5,C22H38O2
935,13(Z)-Docosenoic Acid,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,90175,112-86-7,C22H42O2
936,"5(Z),8(Z),11(Z)-Eicosatrienoic Acid",CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)O,90190,20590-32-3,C20H34O2
937,"11(Z),14(Z),17(Z)-Eicosatrienoic Acid",CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O,90192,17046-59-2,C20H34O2
938,"5(Z),8(Z),11(Z)-Eicosatrienoic Acid Ethanolamide",CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,90195,169232-04-6,C22H39NO2
939,"5,8,11-Eicosatriynoic Acid",CCCCCCCCC#CCC#CCC#CCCCC(=O)O,90200,13488-22-7,C20H28O2
940,.alpha.-Linolenic Acid,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,90210,463-40-1,C18H30O2
941,.alpha.-Linolenoyl Ethanolamide,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)NCCO,90215,57086-93-8,C20H35NO2
942,.gamma.-Linolenic Acid,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,90220,506-26-3,C18H30O2
943,Dihomo-.gamma.-Linolenic Acid,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,90230,1783-84-2,C20H34O2
944,Dihomo-.gamma.-Linolenoyl Ethanolamide,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)NCCO,90235,150314-34-4,C22H39NO2
945,Dihomo-.gamma.-Linolenic Acid ethyl ester,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OCC,90236,55968-21-3,C22H38O2
946,Stearoyl Ethanolamide,CCCCCCCCCCCCCCCCCC(=O)NCCO,90245,111-57-9,C20H41NO2
947,Elaidic Acid,CCCCCCCC/C=C/CCCCCCCC(=O)O,90250,112-79-8,C18H34O2
948,Oleic Acid,CCCCCCCC/C=C\CCCCCCCC(=O)O,90260,112-80-1,C18H34O2
949,Olvanil,CCCCCCCC/C=C\CCCCCCCC(=O)NCc1ccc(O)c(OC)c1,90262,58493-49-5,C26H43NO3
950,Oleoyl Ethanolamide,CCCCCCCC/C=C\CCCCCCCC(=O)NCCO,90265,111-58-0,C20H39NO2
951,N-Oleoyl Glycine,CCCCCCCC/C=C\CCCCCCCC(=O)NCC(=O)O,90269,2601-90-3,C20H37NO3
952,17-Octadecynoic Acid,C#CCCCCCCCCCCCCCCCC(=O)O,90270,34450-18-5,C18H32O2
953,MEDICA 16,CC(C)(CCCCCCCCCCC(C)(C)CC(=O)O)CC(=O)O,90290,87272-20-6,C20H38O4
954,Adrenic Acid,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O,90300,28874-58-0,C22H36O2
955,Docosahexaenoic Acid,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,90310, 6217-54-5,C22H32O2
956,Stearidonic Acid,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O,90320,20290-75-9,C18H28O2
957,"11(Z),14(Z)-Eicosadienoic Acid",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O,90330,5598-38-9,C20H36O2
958,Heptadecanoyl Ethanolamide,CCCCCCCCCCCCCCCCC(=O)NCCO,90342,53832-59-0,C19H39NO2
959,Decanoyl m-Nitroaniline,CCCCCCCCCC(=O)Nc1cccc([N+](=O)[O-])c1,90349,72298-61-4,C16H24N2O3
960,Palmitoyl Ethanolamide,CCCCCCCCCCCCCCCC(=O)NCCO,90350,544-31-0,C18H37NO2
961,R-Palmitoyl-(1-methyl) Ethanolamide,CCCCCCCCCCCCCCCC(=O)N[C@H](C)CO,90353,142128-47-0,C19H39NO2
962,R-Palmitoyl-(2-methyl) Ethanolamide,CCCCCCCCCCCCCCCC(=O)NC[C@@H](C)O,90357,179951-56-5,C19H39NO2
963,Phytanic Acid,CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O,90360,14721-66-5,C20H40O2
964,"9(E),11(E)-Conjugated Linoleic Acid",CCCCCC/C=C/C=C/CCCCCCCC(=O)O,90370,544-71-8,C18H32O2
965,Oleamide,CCCCCCCC/C=C\CCCCCCCC(N)=O,90375,301-02-0,C18H35NO
966,13-Docosenamide,CCCCCCCC/C=C\CCCCCCCCCCCC(N)=O,90377,112-84-5,C22H43NO
967,2-fluoro Palmitic Acid,CCCCCCCCCCCCCCC(F)C(=O)O,90380,16518-94-8,C16H31FO2
968,Docosatetraenoyl Ethanolamide,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)NCCO,90385,150314-35-5,C24H41NO2
969,2-hydroxy Myristic Acid,CCCCCCCCCCCCC(O)C(=O)O,90390,2507-55-3,C14H28O3
970,"9,12-Octadecadiynoic Acid",CCCCCC#CCC#CCCCCCCCC(=O)O,90400,2012-14-8,C18H28O2
971,"5(S),6(R)-Lipoxin A4",CCCCC[C@H](O)/C=C/C=C\C=C\C=C\[C@@H](O)[C@@H](O)CCCC(=O)O,90410,89663-86-5,C20H32O5
972,15(R)-Lipoxin A4,CCCCC[C@@H](O)/C=C/C=C\C=C\C=C\[C@@H](O)[C@@H](O)CCCC(=O)O,90415,171030-11-8,C20H32O5
973,Lipoxin B4,CCCCC[C@H](O)[C@H](O)/C=C/C=C/C=C\C=C\[C@@H](O)CCCC(=O)O,90420,98049-69-5,C20H32O5
974,3-Thiatetradecanoic Acid,CCCCCCCCCCCSCC(=O)O,90500,116296-31-2,C13H26O2S
975,O-11,CCCOCCCCCCCCCC(=O)O,90510,119290-12-9,C13H26O3
976,O-Arachidonoyl Ethanolamine (hydrochloride),CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCCN.Cl,91050,443129-35-9,C22H38ClNO2
977,Arachidonoyl Cyclopropylamide,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NC1CC1,91053,229021-64-1,C23H37NO
978,Arachidonoyl 2'-Chloroethylamide,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCCl,91054,220556-69-4,C22H36ClNO
979,Palmitoyl N-Isopropylamide,CCCCCCCCCCCCCCCC(=O)NC(C)C,91354,189939-61-5,C19H39NO
980,Capsaicin,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,92350,404-86-4,C18H27NO3
981,Dihydrocapsaicin,COc1cc(CNC(=O)CCCCCCC(C)C)ccc1O,92355,19408-84-5,C18H29NO3
982,Petromyzonol,C[C@H](CCCO)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,98250,28979-29-5,C24H42O4
983,Acridinium NHS ester,C[n+]1c2ccccc2c(C(=O)Oc2ccc(CCC(=O)ON3C(=O)CCC3=O)cc2)c2ccccc21.O=S(=O)([O-])C(F)(F)F,200200,177332-37-5,C29H23F3N2O9S
984,DISBAC10,CCCCCCCCCCN1C(=O)C(=C/C=C/C2C(=O)N(CCCCCCCCCC)C(=S)N(CCCCCCCCCC)C2=O)C(=O)N(CCCCCCCCCC)C1=S,200280,169211-45-4,C51H88N4O4S2
985,Prostaglandin A2-d4,[2H]C([2H])(/C=C\C[C@H]1C(=O)C=C[C@@H]1/C=C/[C@@H](O)CCCCC)C([2H])([2H])CC,310210,201608-18-6,C20H32O2
986,Prostaglandin B2-d4,[2H]C([2H])(/C=C\CC1=C(/C=C/[C@@H](O)CCCCC)CCC1=O)C([2H])([2H])CC(=O)O,311210,211105-23-6,C20H30O4
987,Prostaglandin D2-d4,[2H]C([2H])(/C=C\C[C@H]1[C@@H](O)CC(=O)[C@@H]1/C=C/[C@@H](O)CCCCC)C([2H])([2H])CC(=O)O,312010,211105-29-2,C20H32O5
988,Prostaglandin E1-d4,[2H]C([2H])(CCC[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)CCCCC)C([2H])([2H])CC(=O)O,313010,211105-33-8,C20H34O5
989,Prostaglandin E2-d4,[2H]C([2H])(/C=C\C[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)CCCCC)C([2H])([2H])CC(=O)O,314010,34210-10-1,C20H32O5
990,tetranor-PGEM-d6,[2H]C([2H])(CC(=O)CC[C@H]1[C@H](O)CC(=O)[C@@H]1CCC(=O)O)C([2H])([2H])C([2H])([2H])C(=O)O,314840,1240398-16-6,C16H24O7
991,6-keto Prostaglandin F1.alpha.-d4,[2H]C([2H])(CC(=O)O)C([2H])([2H])CC(=O)C[C@@H]1[C@@H](/C=C/[C@@H](O)CCCCC)[C@H](O)C[C@@H]1O,315210,82414-64-0,C20H34O6
992,Prostaglandin F2.alpha.-d4,[2H]C([2H])(/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)CCCCC)[C@H](O)C[C@@H]1O)C([2H])([2H])CC(=O)O,316010,34210-11-2,C20H34O5
993,8-iso Prostaglandin F2.alpha.-d4,[2H]C([2H])(/C=C\C[C@H]1[C@@H](/C=C/[C@@H](O)CCCCC)[C@H](O)C[C@@H]1O)C([2H])([2H])CC(=O)O,316350,211105-40-7,C20H34O5
994,17-phenyl trinor Prostaglandin F2.alpha.-d4,[2H]C([2H])(/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O)C([2H])([2H])CC(=O)O,316810,58976-50-4,C23H32O5
995,Latanoprost (free acid)-d4,[2H]C([2H])(/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O)C([2H])([2H])CC(=O)O,316811,1224443-47-3,C23H34O5
996,"15-deoxy-.DELTA.12,14-Prostaglandin J2-d4",[2H]C([2H])(/C=C\C[C@H]1C=CC(=O)/C1=C/C=C/CCCCC)C([2H])([2H])CC(=O)O,318570,1542166-82-4,C20H28O3
997,Thromboxane B2-d4,[2H]C([2H])(/C=C\C[C@H]1[C@@H](O)CC(O)O[C@@H]1/C=C/[C@@H](O)CCCCC)C([2H])([2H])CC(=O)O,319030,1346112-79-5,C20H34O6
998,11-dehydro Thromboxane B2-d4,[2H]C([2H])(/C=C\C[C@H]1[C@@H](O)CC(=O)O[C@@H]1/C=C/[C@@H](O)CCCCC)C([2H])([2H])CC(=O)O,319500,1240398-15-5,C20H32O6
999,Leukotriene B4-d4,[2H]C(/C=C/C=C/[C@H](O)C/C([2H])=C(/[2H])CCCCC)=C(\[2H])[C@@H](O)CCCC(=O)O,320110,124629-74-9,C20H32O4
1000,4-hydroxy Nonenal-d3,[2H]C([2H])([2H])CCCCC(O)/C=C/C=O,332101,148706-06-3,C9H16O2
1001,5(S)-HETE-d8,[2H]C(/C=C(\[2H])[C@@]([2H])(O)CCCC(=O)O)=C(\[2H])C/C([2H])=C(/[2H])C/C([2H])=C(/[2H])CCCCC,334230,330796-62-8,C20H32O3
1002,5-OxoETE-d7,[2H]C(/C=C(\[2H])C(=O)CCCC(=O)O)=C(\[2H])C/C([2H])=C(/[2H])C/C([2H])=C(/[2H])CCCCC,334250,1881277-29-7,C20H30O3
1003,12(S)-HETE-d8,[2H]C(/C=C(\[2H])[C@@]([2H])(O)C/C([2H])=C(/[2H])CCCCC)=C(\[2H])C/C([2H])=C(/[2H])CCCC(=O)O,334570,84807-90-9,C20H32O3
1004,15(S)-HETE-d8,[2H]C(/C=C(\[2H])[C@@]([2H])(O)CCCCC)=C(\[2H])C/C([2H])=C(/[2H])C/C([2H])=C(/[2H])CCCC(=O)O,334720,84807-87-4,C20H32O3
1005,9(S)-HODE-d4,[2H]C(/C=C(\[2H])[C@@]([2H])(O)CCCCCCCC(=O)O)=C(\[2H])CCCCC,338410,890955-25-6,C18H32O3
1006,13(S)-HODE-d4,[2H]C(/C=C(\[2H])[C@@]([2H])(O)CCCCC)=C(\[2H])CCCCCCCC(=O)O,338610,139408-39-2,C18H32O3
1007,PAF C-16-d4,[2H]C([2H])(CCCCCCCC)C([2H])([2H])CCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(C)=O,360900,211106-54-6,C26H54NO7P
1008,Lyso-PAF C-16-d4,[2H]C([2H])(CCCCCCCC)C([2H])([2H])CCCCCCOC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C,360906,201216-37-7,C24H52NO6P
1009,2-Arachidonoyl Glycerol-d8,[2H]/C(CCCCC)=C(\[2H])C/C([2H])=C(/[2H])C/C([2H])=C(/[2H])C/C([2H])=C(/[2H])CCCC(=O)OC(CO)CO,362160,924894-97-3,C23H38O4
1010,2-Arachidonoyl Glycerol-d5,[2H]C([2H])(O)C([2H])(OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)C([2H])([2H])O,362162,2522598-88-3,C23H38O4
1011,Arachidonic Acid-d8,[2H]/C(CCCCC)=C(\[2H])C/C([2H])=C(/[2H])C/C([2H])=C(/[2H])C/C([2H])=C(/[2H])CCCC(=O)O,390010,69254-37-1,C20H32O2
1012,.omega.-3 Arachidonic Acid-d8,[2H]/C(CC)=C(\[2H])C/C([2H])=C(/[2H])C/C([2H])=C(/[2H])C/C([2H])=C(/[2H])CCCCCCC(=O)O,390011,2692624-30-7,C20H32O2
1013,Arachidonic Acid-d8 methyl ester,[2H]/C(CCCCC)=C(\[2H])C/C([2H])=C(/[2H])C/C([2H])=C(/[2H])C/C([2H])=C(/[2H])CCCC(=O)OC,390014,19245-55-7,C21H34O2
1014,20-HETE-d6,[2H]C([2H])(/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O)C([2H])([2H])C([2H])([2H])CCO,390030,2548939-89-3,C20H32O3
1015,Arachidonoyl Ethanolamide-d8,[2H]/C(CCCCC)=C(\[2H])C/C([2H])=C(/[2H])C/C([2H])=C(/[2H])C/C([2H])=C(/[2H])CCCC(=O)NCCO,390050,924894-98-4,C22H37NO2
1016,Linoleic Acid-d4,[2H]/C(CCCCC)=C(\[2H])C/C([2H])=C(/[2H])CCCCCCCC(=O)O,390150,79050-23-0,C18H32O2
1017,Jasmonic Acid methyl ester,CCC=CCC1C(=O)CCC1CC(=O)OC,9000059,39924-52-2,C13H20O3
1018,Carbaprostacyclin methyl ester,CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)OC)C[C@H]2C[C@H]1O,9000183,69552-55-2,C22H36O4
1019,Prostaglandin A1 methyl ester,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)OC,9000184,26771-94-8,C21H34O4
1020,Prostaglandin A2 methyl ester,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)OC,9000185,31753-19-2,C21H32O4
1021,"5(Z),8(Z),11(Z)-Eicosatrienoic Acid methyl ester",CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)OC,9000215,14602-39-2,C21H36O2
1022,Triphenylphosphine oxide,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,9000289,791-28-6,C18H15OP
1023,8-methyl Nonanoic Acid,CC(C)CCCCCCC(=O)O,9000310,5963-14-4,C10H20O2
1024,7(Z)-Tricosene,CCCCCC/C=C\CCCCCCCCCCCCCCC,9000313,52078-42-9,C23H46
1025,"7(Z),11(Z)-Nonacosadiene",CCCCCC/C=C\CC/C=C\CCCCCCCCCCCCCCCCC,9000314,104410-91-5,C29H56
1026,Linoleoyl Glycine,CCCCC/C=C\C/C=C\CCCCCCCC(=O)NCC(=O)O,9000326,2764-03-6,C20H35NO3
1027,Docosahexaenoyl glycine,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)NCC(=O)O,9000328,132850-40-9,C24H35NO3
1028,(S)-Acenocoumarol,CC(=O)C[C@@H](c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,9000336,66556-77-2,C19H15NO6
1029,(R)-Acenocoumarol,CC(=O)C[C@H](c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,9000337,66556-78-3,C19H15NO6
1030,Docosanoic Acid,CCCCCCCCCCCCCCCCCCCCCC(=O)O,9000338,112-85-6,C22H44O2
1031,Arachidic Acid,CCCCCCCCCCCCCCCCCCCC(=O)O,9000339,506-30-9,C20H40O2
1032,1-NBD-decanoyl-2-decanoyl-sn-Glycerol,CCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCNc1ccc([N+](=O)[O-])c2nonc12,9000341,2309189-98-6,C29H46N4O8
1033,"17-oxo-(4Z),(7Z),(10Z),(13Z),(15E),(19Z)-Docosahexaenoic Acid",CC/C=C\CC(=O)/C=C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,9000346,1233715-28-0,C22H30O3
1034,"17-keto-7(Z),10(Z),13(Z),15(E),19(Z)-Docosapentaenoic Acid",CC/C=C\CC(=O)/C=C/C=C\C/C=C\C/C=C\CCCCCC(=O)O,9000347,1233715-33-7,C22H32O3
1035,Oxy-16,CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,9000395,596-94-1,C27H46O3
1036,"13,14-dihydro-16,16-difluoro Prostaglandin E1",CCCCC(F)(F)[C@H](O)CC[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,9000405,475992-30-4,C20H34F2O5
1037,Palmitoleic Acid-d14,[2H]C([2H])(/C=C\CCCCCC)C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C(=O)O,9000431,184708-66-5,C16H30O2
1038,Rimonabant,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,9000484,168273-06-1,C22H21Cl3N4O
1039,SR 144528,Cc1ccc(Cn2nc(C(=O)N[C@@H]3C(C)(C)[C@@H]4CC[C@@]3(C)C4)cc2-c2ccc(Cl)c(C)c2)cc1,9000491,192703-06-3,C29H34ClN3O
1040,7(Z)-Pentacosene,CCCCCC/C=C\CCCCCCCCCCCCCCCCC,9000530,63623-49-4,C25H50
1041,"7(Z),11(Z)-Pentacosadiene",CCCCCC/C=C\CC/C=C\CCCCCCCCCCCCC,9000531,127599-39-7,C25H48
1042,N-Desethylamiodarone (hydrochloride),CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCNCC)c(I)c1.Cl,9000537,96027-74-6,C23H26ClI2NO3
1043,Palmitoyl Ethanolamide-d4,[2H]C([2H])(O)C([2H])([2H])NC(=O)CCCCCCCCCCCCCCC,9000551,946524-34-1,C18H37NO2
1044,Oleoyl Ethanolamide-d4,[2H]C([2H])(O)C([2H])([2H])NC(=O)CCCCCCC/C=C\CCCCCCCC,9000552,946524-36-3,C20H39NO2
1045,Linoleoyl Ethanolamide-d4,[2H]C([2H])(O)C([2H])([2H])NC(=O)CCCCCCC/C=C\C/C=C\CCCCC,9000553,1451194-69-6,C20H37NO2
1046,Dimebolin,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,9000556,3613-73-8,C21H25N3
1047,Palmitoyl Ethanolamide-d5,[2H]C([2H])([2H])C([2H])([2H])CCCCCCCCCCCCCC(=O)NCCO,9000573,2117730-91-1,C18H37NO2
1048,Oleoyl Serotonin,CCCCCCCC/C=C\CCCCCCCC(=O)NCCc1c[nH]c2ccc(O)cc12,9000629,1002100-44-8,C28H44N2O2
1049,Palmitoyl Serotonin,CCCCCCCCCCCCCCCC(=O)NCCc1c[nH]c2ccc(O)cc12,9000630,212707-51-2,C26H42N2O2
1050,Stearoyl Serotonin,CCCCCCCCCCCCCCCCCC(=O)NCCc1c[nH]c2ccc(O)cc12,9000631,67964-87-8,C28H46N2O2
