,CompoundName,casID,selleckID,Formula,SMILES
553,Baicalein,491-67-8,S2268,C15H10O5,OC1=C(O)C(=C2C(=O)C=C(OC2=C1)C3=CC=CC=C3)O
554,Baicalin (NSC-661431),21967-41-9,S2269,C21H18O11,OC1C(O)C(OC(C1O)C(O)=O)OC2=C(O)C(=C3C(=O)C=C(OC3=C2)C4=CC=CC=C4)O
555,Bergenin,477-90-7,S2270,C14H16O9,COC1=C(O)C2=C(C=C1O)C(=O)OC3C(O)C(O)C(CO)OC23
556,Berberine chloride (NSC 646666),633-65-8,S2271,C20H18NO4.Cl,[Cl-].COC1=CC=C2C=C3C4=C(CC[N+]3=CC2=C1OC)C=C5OCOC5=C4
557,Caffeic Acid,331-39-5,S2277,C9H8O4,OC(=O)/C=C/C1=CC=C(O)C(=C1)O
558,Chlorogenic Acid,327-97-9,S2280,C16H18O9,OC1CC(O)(CC(OC(=O)\C=C\C2=CC(=C(O)C=C2)O)C1O)C(O)=O
559,Cinchonidine,485-71-2,S2282,C19H22N2O,OC(C1CC2CCN1CC2C=C)C3=CC=NC4=CC=CC=C34
560,Cinchonine(LA40221),118-10-5,S2283,C19H22N2O,OC(C1CC2CCN1CC2C=C)C3=CC=NC4=CC=CC=C34
561,Colchicine (NSC 757),64-86-8,S2284,C22H25NO6,COC1=CC=C2C(=CC1=O)C(CCC3=C2C(=C(OC)C(=C3)OC)OC)NC(C)=O
562,Cyclosporin A (NSC 290193),59865-13-3,S2286,C62H111N11O12,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
563,Cytisine,485-35-8,S2287,C11H14N2O,O=C1C=CC=C2C3CNCC(C3)CN12
564,Daidzin,552-66-9,S2289,C21H20O9,OCC1OC(OC2=CC3=C(C=C2)C(=O)C(=CO3)C4=CC=C(O)C=C4)C(O)C(O)C1O
565,Dihydroartemisinin (DHA),71939-50-9,S2290,C15H24O5,CC1CCC2C(C)C(O)OC3OC4(C)CCC1C23OO4
566,DL-Carnitine HCl,461-05-2,S2293,C7H15NO3.HCl,[Cl-].C[N+](C)(C)CC(O)CC(O)=O
567,Emodin,518-82-1,S2295,C15H10O5,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(O)C=C3O)C2=O
568,Enoxolone,471-53-4,S2296,C30H46O4,CC1(C)C(O)CCC2(C)C1CCC3(C)C2C(=O)C=C4C5CC(C)(CCC5(C)CCC34C)C(O)=O
569,Formononetin,485-72-3,S2299,C16H12O4,COC1=CC=C(C=C1)C2=COC3=C(C=CC(=C3)O)C2=O
570,Ferulic Acid,1135-24-6,S2300,C10H10O4,COC1=CC(=CC=C1O)\C=C\C(O)=O
571,Glycyrrhizin (NSC 167409),1405-86-3,S2302,C42H62O16,CC1(C)C(CCC2(C)C1CCC3(C)C2C(=O)C=C4C5CC(C)(CCC5(C)CCC34C)C(O)=O)OC6OC(C(O)C(O)C6OC7OC(C(O)C(O)C7O)C(O)=O)C(O)=O
572,Gossypol Acetate,12542-36-8,S2303,C32H34O10,CC(C)C1=C2C=C(C)C(=C(O)C2=C(C=O)C(=C1O)O)C3=C(O)C4=C(C=C3C)C(=C(O)C(=C4C=O)O)C(C)C.CC(O)=O
573,Gramine,87-52-5,S2304,C11H14N2,CN(C)CC1=C[NH]C2=C1C=CC=C2
574,Hesperetin,520-33-2,S2308,C16H14O6,COC1=CC=C(C=C1O)C2CC(=O)C3=C(O)C=C(O)C=C3O2
575,Hesperidin,520-26-3,S2309,C28H34O15,COC1=CC=C(C=C1O)C2CC(=O)C3=C(O)C=C(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)C=C3O2
576,Honokiol (NSC 293100),35354-74-6,S2310,C18H18O2,OC1=C(CC=C)C=C(C=C1)C2=CC(=CC=C2O)CC=C
577,Hyodeoxycholic acid (HDCA),83-49-8,S2311,C24H40O4,CC(CCC(O)=O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C
578,Kaempferol (NSC 407289),520-18-3,S2314,C15H10O6,OC1=CC=C(C=C1)C2=C(O)C(=O)C3=C(O)C=C(O)C=C3O2
579,Kinetin,525-79-1,S2316,C10H9N5O,C(NC1=NC=NC2=C1[NH]C=N2)C3=CC=CO3
580,L-(+)-Rhamnose Monohydrate,10030-85-0,S2317,C6H12O5.H2O,O.CC1OC(O)C(O)C(O)C1O
581,Lappaconitine,32854-75-4,S2318,C32H44N2O8,CCN1CC2(CCC(OC)C34C2CC(C13)C5(O)CC(OC)C6CC4C5(O)C6OC)OC(=O)C7=CC=CC=C7NC(C)=O
582,Luteolin,491-70-3,S2320,C15H10O6,OC1=CC(=C2C(=O)C=C(OC2=C1)C3=CC=C(O)C(=C3)O)O
583,Magnolol,528-43-8,S2321,C18H18O2,OC1=C(C=C(CC=C)C=C1)C2=CC(=CC=C2O)CC=C
584,(+)-Matrine,519-02-8,S2322,C15H24N2O,O=C1CCCC2C3CCCN4CCCC(CN12)C34
585,Morin Hydrate,6202-27-3,S2325,C15H10O7.H2O,O.OC1=CC=C(C(=C1)O)C2=C(O)C(=O)C3=C(O)C=C(O)C=C3O2
586,Nalidixic acid,389-08-2,S2328,C12H12N2O3,CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2
587,Naringin,10236-47-2,S2329,C27H32O14,CC1OC(OC2C(O)C(O)C(CO)OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(O)C=C5)O)C(O)C(O)C1O
588,Neohesperidin Dihydrochalcone (Nhdc),20702-77-6,S2331,C28H36O15,COC1=C(O)C=C(CCC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC4OC(C)C(O)C(O)C4O)C=C2O)C=C1
589,Neohesperidin,13241-33-3,S2332,C28H34O15,COC1=CC(=CC(=C1)C2CC(=O)C3=C(O)C=C(OC4OC(CO)C(O)C(O)C4OC5OC(C)C(O)C(O)C5O)C=C3O2)O
590,Oleanolic Acid,508-02-1,S2334,C30H48O3,CC1(C)CC(C2CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1)C(O)=O
591,Orotic acid (6-Carboxyuracil),65-86-1,S2336,C5H4N2O4,OC(=O)C1=CC(=O)NC(=O)N1
592,Osthole,484-12-8,S2337,C15H16O3,COC1=CC=C2C=CC(=O)OC2=C1CC=C(C)C
593,Oxymatrine,16837-52-8,S2338,C15H24N2O2,[O-][N+]12CCCC3CN4C(CCCC4=O)C(CCC1)C23
594,Paeonol,552-41-0,S2339,C9H10O3,COC1=CC(=C(C=C1)C(C)=O)O
595,(-)-Parthenolide,20554-84-1,S2341,C15H20O3,CC/1=C\CCC2(C)OC2C3OC(=O)C(=C)C3CC1
596,Piperine,94-62-2,S2344,C17H19NO3,O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N3CCCCC3
597,Puerarin,3681-99-0,S2346,C21H20O9,OCC1OC(OC2=C(O)C=CC3=C2OC=C(C3=O)C4=CC=C(O)C=C4)C(O)C(O)C1O
598,Quercetin Dihydrate,6151-25-3,S2347,C15H10O7.2H2O,O.O.OC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC=C(O)C(=C3)O)O)O
599,Rotenone (Barbasco),83-79-4,S2348,C23H22O6,COC1=CC2=C(C=C1OC)C3C(CO2)OC4=C(C=CC5=C4CC(O5)C(C)=C)C3=O
600,Rutaecarpine,84-26-4,S2349,C18H13N3O,O=C1N2CCC3=C([NH]C4=C3C=CC=C4)C2=NC5=C1C=CC=C5
601,Rutin,153-18-4,S2350,C27H30O16,CC1OC(OCC2OC(OC3=C(OC4=C(C(=CC(=C4)O)O)C3=O)C5=CC(=C(O)C=C5)O)C(O)C(O)C2O)C(O)C(O)C1O
602,Salicin,138-52-3,S2351,C13H18O7,OCC1OC(OC2=CC=CC=C2CO)C(O)C(O)C1O
603,Sclareol,515-03-7,S2354,C20H36O2,CC1(C)CCCC2(C)C1CCC(C)(O)C2CCC(C)(O)C=C
604,Silibinin (NSC 651520),22888-70-6,S2357,C25H22O10,COC1=CC(=CC=C1O)C2OC3=CC(=CC=C3OC2CO)C4OC5=CC(=CC(=C5C(=O)C4O)O)O
605,Silymarin,65666-07-1,S2358,C25H22O10,COC1=CC(=CC=C1O)C2OC3=CC=C(C=C3OC2CO)C4OC5=C(C(=CC(=C5)O)O)C(=O)C4O
606,Sinomenine,115-53-7,S2359,C19H23NO4,COC1=CC2C3CC4=C(C(=C(OC)C=C4)O)C2(CCN3C)CC1=O
607,Synephrine,94-07-5,S2362,C9H13NO2,CNCC(O)C1=CC=C(O)C=C1
608,Tanshinone I,568-73-0,S2364,C18H12O3,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C)C=CC=C34
609,Tanshinone IIA,568-72-9,S2365,C19H18O3,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
610,Taxifolin (Dihydroquercetin),480-18-2,S2366,C15H12O7,OC1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(O)C=C3)O
611,Troxerutin,7085-55-4,S2369,C33H42O19,CC1OC(OCC2OC(OC3=C(OC4=CC(=CC(=C4C3=O)O)OCCO)C5=CC(=C(OCCO)C=C5)OCCO)C(O)C(O)C2O)C(O)C(O)C1O
612,Ursolic Acid,77-52-1,S2370,C30H48O3,CC1CC(C2CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1C)C(O)=O
613,Yohimbine HCl,65-19-0,S2373,C21H26N2O3.HCl,Cl.COC(=O)C1C(O)CCC2CN3CCC4=C([NH]C5=C4C=CC=C5)C3CC12
614,5-hydroxytryptophan (5-HTP),56-69-9,S2374,C11H12N2O3,NC(CC1=C[NH]C2=CC=C(O)C=C12)C(O)=O
615,Aloin,1415-73-2,S2375,C21H22O9,OCC1OC(C(O)C(O)C1O)C2C3=C(C(=CC=C3)O)C(=O)C4=C2C=C(CO)C=C4O
616,Ammonium Glycyrrhizinate,1407-03-0,S2376,C42H62O16.NH3,N.CC1(C)C(CCC2(C)C1CCC3(C)C2C(=O)C=C4C5CC(C)(CCC5(C)CCC34C)C(O)=O)OC6OC(C(O)C(O)C6OC7OC(C(O)C(O)C7O)C(O)=O)C(O)=O
617,Butylscopolamine Bromide,149-64-4,S2378,C21H30NO4.Br,[Br-].CCCC[N+]1(C)C2CC(CC1C3OC23)OC(=O)C(CO)C4=CC=CC=C4
618,Dioscin,19057-60-4,S2379,C45H72O16,CC1CCC2(OC1)OC3CC4C5CC=C6CC(CCC6(C)C5CCC4(C)C3C2C)OC7OC(CO)C(OC8OC(C)C(O)C(O)C8O)C(O)C7OC9OC(C)C(O)C(O)C9O
619,Diosmetin,520-34-3,S2380,C16H12O6,COC1=CC=C(C=C1O)C2=CC(=O)C3=C(O)C=C(O)C=C3O2
620,D-Mannitol,69-65-8,S2381,C6H14O6,OCC(O)C(O)C(O)C(O)CO
621,Evodiamine,518-17-2,S2382,C19H17N3O,CN1C2N(CCC3=C2[NH]C4=CC=CC=C34)C(=O)C5=C1C=CC=C5
622,Gastrodin,62499-27-8,S2383,C13H18O7,OCC1OC(OC2=CC=C(CO)C=C2)C(O)C(O)C1O
623,Hematoxylin,517-28-2,S2384,C16H14O6,OC1=CC2=C(C=C1O)C3C4=C(OCC3(O)C2)C(=C(O)C=C4)O
624,Indirubin (NSC 105327),479-41-4,S2386,C16H10N2O2,O=C1NC2=CC=CC=C2\C1=C3/NC4=C(C=CC=C4)C3=O
625,Lappaconite HBr,97792-45-5,S2387,C32H44N2O8.HBr,Br.CCN1CC2(CCC(OC)C34C2CC(C13)C5(O)CC(OC)C6CC4C5(O)C6OC)OC(=O)C7=C(NC(C)=O)C=CC=C7
626,L-carnitine,541-15-1,S2388,C7H15NO3,C[N+](C)(C)CC(O)CC([O-])=O
627,Naringin Dihydrochalcone,18916-17-1,S2389,C27H34O14,CC1OC(OC2C(O)C(O)C(CO)OC2OC3=CC(=C(C(=O)CCC4=CC=C(O)C=C4)C(=C3)O)O)C(O)C(O)C1O
628,Polydatin,65914-17-2,S2390,C20H22O8,OCC1OC(OC2=CC(=CC(=C2)\C=C\C3=CC=C(O)C=C3)O)C(O)C(O)C1O
629,Quercetin (NSC 9221),117-39-5,S2391,C15H10O7,OC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC=C(O)C(=C3)O)O)O
630,Sorbitol,50-70-4,S2393,C6H14O6,OCC(O)C(O)C(O)C(O)CO
631,Salidroside,10338-51-9,S2396,C14H20O7,OCC1OC(OCCC2=CC=C(O)C=C2)C(O)C(O)C1O
632,Palmatine chloride,10605-02-4,S2397,C21H22NO4.Cl,[Cl-].COC1=CC=C2C=C3C4=C(CC[N+]3=CC2=C1OC)C=C(OC)C(=C4)OC
633,Sodium Danshensu,67920-52-9,S2401,C9H9O5.Na,[Na+].OC(CC1=CC(=C(O)C=C1)O)C([O-])=O
634,Tetrandrine (NSC-77037),518-34-3,S2403,C38H42N2O6,COC1=CC=C2CC3N(C)CCC4=CC(=C(OC)C(=C34)OC5=C(OC)C=C6CCN(C)C(CC7=CC=C(OC1=C2)C=C7)C6=C5)OC
635,10-Deacetylbaccatin-III,32981-86-5,S2409,C29H36O10,CC(=O)OC12COC1CC(O)C3(C)C2C(OC(=O)C4=CC=CC=C4)C5(O)CC(O)C(=C(C(O)C3=O)C5(C)C)C
636,Paeoniflorin (NSC 178886),23180-57-6,S2410,C23H28O11,CC12CC3(O)OC(O1)C4(COC(=O)C5=CC=CC=C5)C3CC24OC6OC(CO)C(O)C(O)C6O
637,Geniposide,24512-63-8,S2411,C17H24O10,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C1CC=C3CO
638,Ipriflavone (Osteofix),35212-22-7,S2422,C18H16O3,CC(C)OC1=CC=C2C(=C1)OC=C(C2=O)C3=CC=CC=C3
639,(S)-10-Hydroxycamptothecin,19685-09-7,S2423,C20H16N2O5,CCC1(O)C(=O)OCC2=C1C=C3N(CC4=CC5=CC(=CC=C5N=C34)O)C2=O
640,Rotundine,483-14-7,S2437,C21H25NO4,COC1=CC2=C(C=C1OC)C3CC4=CC=C(OC)C(=C4CN3CC2)OC
641,Synephrine HCl,5985-28-4,S2438,C9H13NO2.HCl,Cl.CNCC(O)C1=CC=C(O)C=C1
642,Guanosine,118-00-3,S2439,C10H13N5O5,NC1=NC2=C(N=C[N]2C3OC(CO)C(O)C3O)C(=O)N1
643,Inosine,58-63-9,S2442,C10H12N4O5,OCC1OC(C(O)C1O)[N]2C=NC3=C2N=CNC3=O
644,Tolbutamide (HLS 831),64-77-7,S2443,C12H18N2O3S,CCCCNC(=O)N[S](=O)(=O)C1=CC=C(C)C=C1
645,Levosimendan,141505-33-1,S2446,C14H12N6O,CC1CC(=O)NN=C1C2=CC=C(NN=C(C#N)C#N)C=C2
646,Equol,531-95-3,S2450,C15H14O3,OC1=CC=C(C=C1)C2COC3=CC(=CC=C3C2)O
647,Amantadine HCl,665-66-7,S2451,C10H17N.HCl,Cl.N[C]12CC3[CH2][CH](C[CH]([CH2]3)C1)C2
648,Amfebutamone (Bupropion) HCl,31677-93-7,S2452,C13H18ClNO.HCl,Cl.CC(NC(C)(C)C)C(=O)C1=CC=CC(=C1)Cl
649,Bupivacaine HCl,18010-40-7,S2454,C18H28N2O.HCl,Cl.CCCCN1CCCCC1C(=O)NC2=C(C)C=CC=C2C
650,Bethanechol chloride,590-63-6,S2455,C7H17N2O2.Cl,[Cl-].CC(C[N+](C)(C)C)OC(N)=O
651,Chlorpromazine HCl,69-09-0,S2456,C17H19ClN2S.HCl,Cl.CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2
652,Clindamycin HCl,21462-39-5,S2457,C18H33ClN2O5S.HCl,Cl.CCCC1CC(N(C)C1)C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O
653,Clonidine HCl,4205-91-8,S2458,C9H9Cl2N3.HCl,Cl.ClC1=C(NC2=NCCN2)C(=CC=C1)Cl
654,Clozapine,5786-21-0,S2459,C18H19ClN4,CN1CCN(CC1)C2=NC3=C(NC4=C2C=CC=C4)C=CC(=C3)Cl
655,Pramipexole,104632-26-0,S2460,C10H17N3S,CCCNC1CCC2=C(C1)SC(=N2)N
656,Domperidone,57808-66-9,S2461,C22H24ClN5O2,ClC1=CC2=C(C=C1)N(C3CCN(CCCN4C(=O)NC5=C4C=CC=C5)CC3)C(=O)N2
657,Estriol,50-27-1,S2466,C18H24O3,CC12CCC3C(CCC4=CC(=CC=C34)O)C1CC(O)C2O
658,Famciclovir,104227-87-4,S2467,C14H19N5O4,CC(=O)OCC(CC[N]1C=NC2=CN=C(N)N=C12)COC(C)=O
659,Fenbendazole,43210-67-9,S2468,C15H13N3O2S,COC(=O)NC1=NC2=C([NH]1)C=C(SC3=CC=CC=C3)C=C2
660,Fluocinolone Acetonide,67-73-2,S2470,C24H30F2O6,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO
661,Gallamine Triethiodide,65-29-2,S2471,C30H60I3N3O3,[I-].[I-].[I-].CC[N+](CC)(CC)CCOC1=C(OCC[N+](CC)(CC)CC)C(=CC=C1)OCC[N+](CC)(CC)CC
662,Hexestrol,84-16-2,S2473,C18H22O2,CCC(C(CC)C1=CC=C(O)C=C1)C2=CC=C(O)C=C2
663,Imatinib (STI571),152459-95-5,S2475,C29H31N7O,CN1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=C(C)C(=C3)NC4=NC=CC(=N4)C5=CC=CN=C5
664,Lincomycin HCl,859-18-7,S2479,C18H34N2O6S.HCl,Cl.CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O
665,Loperamide HCl,34552-83-5,S2480,C29H33ClN2O2.HCl,Cl.CN(C)C(=O)C(CCN1CCC(O)(CC1)C2=CC=C(Cl)C=C2)(C3=CC=CC=C3)C4=CC=CC=C4
666,Manidipine,89226-50-6,S2481,C35H38N4O6,COC(=O)C1=C(C)NC(=C(C1C2=CC=CC(=C2)[N+]([O-])=O)C(=O)OCCN3CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5)C
667,Manidipine 2HCl,89226-75-5,S2482,C35H38N4O6.2HCl,Cl.Cl.COC(=O)C1=C(C)NC(=C(C1C2=CC=CC(=C2)[N+]([O-])=O)C(=O)OCCN3CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5)C
668,Milrinone,78415-72-2,S2484,C12H9N3O,CC1=C(C=C(C#N)C(=O)N1)C2=CC=NC=C2
669,Mitoxantrone (NSC-301739) 2HCl,70476-82-3,S2485,C22H29ClN4O6.2HCl,Cl.Cl.OCCNCCNC1=CC=C(NCCNCCO)C2=C1C(=O)C3=C(O)C=CC(=C3C2=O)O
670,Moroxydine HCl,3160-91-6,S2486,C6H13N5O.HCl,Cl.NC(=N)NC(=N)N1CCOCC1
671,Mycophenolic acid,24280-93-1,S2487,C17H20O6,COC1=C(C)C2=C(C(=C1C\C=C(/C)CCC(O)=O)O)C(=O)OC2
672,Nateglinide,105816-04-4,S2489,C19H27NO3,CC(C)C1CCC(CC1)C(=O)NC(CC2=CC=CC=C2)C(O)=O
673,Nitrendipine,39562-70-4,S2491,C18H20N2O6,CCOC(=O)C1=C(C)NC(=C(C1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)OC)C
674,Novobiocin Sodium (NSC 2382),1476-53-5,S2492,C31H35N2O11.Na,[Na+].COC1C(OC(N)=O)C(O)C(OC2=CC=C3C(=C(NC(=O)C4=CC=C([O-])C(=C4)CC=C(C)C)C(=O)OC3=C2C)O)OC1(C)C
675,Olanzapine,132539-06-1,S2493,C17H20N4S,CN1CCN(CC1)C2=NC3=C(NC4=C2C=C(C)S4)C=CC=C3
676,Olopatadine HCl,140462-76-6,S2494,C21H23NO3.HCl,Cl.CN(C)CC\C=C/1C2=C(COC3=C1C=C(CC(O)=O)C=C3)C=CC=C2
677,Ozagrel,82571-53-7,S2496,C13H12N2O2,OC(=O)/C=C/C1=CC=C(C[N]2C=CN=C2)C=C1
678,Pancuronium dibromide,15500-66-0,S2497,C35H60N2O4.2Br,[Br-].[Br-].CC(=O)OC1CC2CCC3C(CCC4(C)C3CC(C4OC(C)=O)[N+]5(C)CCCCC5)C2(C)CC1[N+]6(C)CCCCC6
679,Phenoxybenzamine HCl,63-92-3,S2499,C18H22ClNO.HCl,Cl.CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2
680,Propafenone HCl,34183-22-7,S2500,C21H27NO3.HCl,CCCNCC(O)COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2
681,Pyrantel Pamoate,22204-24-6,S2501,C23H16O6.C11H14N2S,CN1CCCN=C1\C=C\C2=CC=CS2.OC(=O)C3=CC4=CC=CC=C4C(=C3O)CC5=C6C=CC=CC6=CC(=C5O)C(O)=O
682,Quinine HCl Dihydrate,6119-47-7,S2502,C20H24N2O2.HCl.2H2O,O.O.Cl.COC1=CC2=C(C=C1)N=CC=C2C(O)C3CC4CCN3CC4C=C
683,Racecadotril,81110-73-8,S2503,C21H23NO4S,CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC2=CC=CC=C2
684,Ribavirin (ICN-1229),36791-04-5,S2504,C8H12N4O5,NC(=O)C1=N[N](C=N1)C2OC(CO)C(O)C2O
685,Rosiglitazone (BRL-49653) maleate,155141-29-0,S2505,C18H19N3O3S.C4H4O4,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C3=NC=CC=C3.OC(=O)\C=C/C(O)=O
686,Roxithromycin,80214-83-1,S2506,C41H76N2O15,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)C(C)(O)CC(C)C(=N/OCOCCOC)/C(C)C(O)C1(C)O
687,Scopolamine (LSM-4015) HBr,114-49-8,S2508,C17H21NO4.HBr,Br.CN1C2CC(CC1C3OC23)OC(=O)C(CO)C4=CC=CC=C4
688,Sotalol HCl,959-24-0,S2509,C12H20N2O3S.HCl,Cl.CC(C)NCC(O)C1=CC=C(N[S](C)(=O)=O)C=C1
689,Spectinomycin 2HCl,21736-83-4,S2510,C14H24N2O7.2HCl,Cl.Cl.CNC1C(O)C(NC)C2OC3(O)C(OC(C)CC3=O)OC2C1O
690,Sulfadoxine,2447-57-6,S2511,C12H14N4O4S,COC1=C(OC)C(=NC=N1)N[S](=O)(=O)C2=CC=C(N)C=C2
691,Tenoxicam,59804-37-4,S2512,C13H11N3O4S2,CN1C(=C(O)C2=C(C=CS2)[S]1(=O)=O)C(=O)NC3=CC=CC=N3
692,Vardenafil HCl Trihydrate,330808-88-3,S2515,C23H32N6O4S.HCl.3H2O,O.O.O.Cl.CCCC1=NC(=C2[N]1N=C(NC2=O)C3=CC(=CC=C3OCC)[S](=O)(=O)N4CCN(CC)CC4)C
693,Xylazine HCl,23076-35-9,S2516,C12H16N2S.HCl,Cl.CC1=C(NC2=NCCCS2)C(=CC=C1)C
694,Maprotiline HCl,10347-81-6,S2517,C20H23N.HCl,Cl.CNCCCC12CCC(C3=CC=CC=C13)C4=C2C=CC=C4
695,Naphazoline HCl,550-99-2,S2519,C14H14N2.HCl,Cl.C1CN=C(CC2=C3C=CC=CC3=CC=C2)N1
696,Epinephrine bitartrate,51-42-3,S2521,C9H13NO3.C4H6O6,CNCC(O)C1=CC(=C(O)C=C1)O.OC(C(O)C(O)=O)C(O)=O
697,Phenytoin Sodium,630-93-3,S2524,C15H11N2NaO2,[Na+].[O-]C1=NC(=O)C(N1)(C2=CC=CC=C2)C3=CC=CC=C3
698,Phenytoin,57-41-0,S2525,C15H12N2O2,O=C1NC(=O)C(N1)(C2=CC=CC=C2)C3=CC=CC=C3
699,Ciclopirox,29342-05-0,S2528,C12H17NO2,CC1=CC(=O)N(O)C(=C1)C2CCCCC2
700,Dopamine HCl,62-31-7,S2529,C8H11NO2.HCl,Cl.NCCC1=CC(=C(O)C=C1)O
701,L-Ascorbyl 6-palmitate,137-66-6,S2532,C22H38O7,CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(=C1O)O
702,Ritodrine HCl,23239-51-2,S2533,C17H21NO3.HCl,Cl.CC(NCCC1=CC=C(O)C=C1)C(O)C2=CC=C(O)C=C2
703,Isoconazole nitrate,24168-96-5,S2534,C18H14Cl4N2O.HNO3,O[N+]([O-])=O.ClC1=CC=C(C(C[N]2C=CN=C2)OCC3=C(Cl)C=CC=C3Cl)C(=C1)Cl
704,Econazole nitrate,24169-02-6,S2535,C18H15Cl3N2O.HNO3,O[N+]([O-])=O.ClC1=CC=C(COC(C[N]2C=CN=C2)C3=CC=C(Cl)C=C3Cl)C=C1
705,Miconazole,22916-47-8,S2536,C18H14Cl4N2O,ClC1=CC=C(COC(C[N]2C=CN=C2)C3=C(Cl)C=C(Cl)C=C3)C(=C1)Cl
706,Secnidazole,3366-95-8,S2537,C7H11N3O3,CC(O)C[N]1C(=NC=C1[N+]([O-])=O)C
707,Clomipramine HCl,17321-77-6,S2541,C19H23ClN2.HCl,Cl.CN(C)CCCN1C2=C(CCC3=C1C=C(Cl)C=C3)C=CC=C2
708,Ceftiofur HCl,103980-44-5,S2543,C19H17N5O7S3.HCl,Cl.CO/N=C(/C(=O)NC1C2SCC(=C(N2C1=O)C(O)=O)CSC(=O)C3=CC=CO3)C4=CSC(=N4)N
709,Tiotropium Bromide hydrate,139404-48-1,S2547,C19H22NO4S2.Br.xH2O,O.[Br-].C[N+]1(C)C2CC(CC1C3OC23)OC(=O)C(O)(C4=CC=CS4)C5=CC=CS5
710,Trospium chloride,10405-02-4,S2549,C25H30NO3.Cl,[Cl-].OC(C(=O)OC1CC2CCC(C1)[N+]23CCCC3)(C4=CC=CC=C4)C5=CC=CC=C5
711,Sulbactam sodium,69388-84-7,S2551,C8H10NO5S.Na,[Na+].CC1(C)C(N2C(CC2=O)[S]1(=O)=O)C([O-])=O
712,Azelastine HCl,79307-93-0,S2552,C22H24ClN3O.HCl,Cl.CN1CCCC(CC1)N2N=C(CC3=CC=C(Cl)C=C3)C4=CC=CC=C4C2=O
713,5-Aminolevulinic acid HCl,5451-09-2,S2553,C5H9NO3.HCl,Cl.NCC(=O)CCC(O)=O
714,Daphnetin,486-35-1,S2554,C9H6O4,OC1=CC=C2C=CC(=O)OC2=C1O
715,Clarithromycin,81103-11-9,S2555,C38H69NO13,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)O)OC
716,Rosiglitazone (BRL 49653),122320-73-4,S2556,C18H19N3O3S,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C3=CC=CC=N3
717,Terbinafine HCl,78628-80-5,S2557,C21H25N.HCl,Cl.CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=C1C=CC=C2
718,Cortisone acetate,50-04-4,S2559,C23H30O6,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC12C
719,Clomifene citrate,50-41-9,S2561,C26H28ClNO.C6H8O7,CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)/C2=CC=CC=C2)/C3=CC=CC=C3.OC(=O)CC(O)(CC(O)=O)C(O)=O
