,CompoundName,SMILES,Formula,ItemID
5350,Empagliflozin,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,C23H27ClO7,17375.0
5351,ZSTK474,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,C19H21F2N7O2,17381.0
5352,Perindoprilat,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O,C17H28N2O5,17574.0
5353,MAB-CHMINACA metabolite M3 RM,CC(C)(C)[C@H](NC(=O)c1nn(CC2CCC(O)CC2)c2ccccc12)C(=O)O,C21H29N3O4,17814.0
5354,Tie2 Kinase Inhibitor,COc1ccc2cc(-c3[nH]c(-c4ccc(S(C)=O)cc4)nc3-c3ccncc3)ccc2c1,C26H21N3O2S,17858.0
5355,Hexa-N-acetylchitohexaose,CC(=O)N[C@H]1[C@H](O[C@@H]([C@H](O)[C@H](C=O)NC(C)=O)[C@H](O)CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H](O)[C@H]4NC(C)=O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O,C48H80N6O31,17864.0
5356,AB-CHMICA,CC(C)[C@H](NC(=O)c1cn(CC2CCCCC2)c2ccccc12)C(N)=O,C21H29N3O2,18048.0
5357,SirReal2,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1,C22H20N4OS2,18116.0
5358,ADP-Glucose (sodium salt),Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O.[Na+].[Na+],C16H23N5Na2O15P2,18139.0
5359,CPI-169,CCS(=O)(=O)N1CCC(C(C)n2c(C)c(C(=O)NCc3c(OC)cc(C)[nH]c3=O)c3ccccc32)CC1,C27H36N4O5S,18299.0
5360,BI-847325,CCNC(=O)C#Cc1ccc2c(c1)NC(=O)/C2=C(/Nc1ccc(CN(C)C)cc1)c1ccccc1,C29H28N4O2,18301.0
5361,Bortezomib,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,C19H25BN4O4,10008822.0
5362,TCS 5861528,CCC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,C19H23N5O3,18380.0
5363,INCB024360 analog,Nc1nonc1/C(=N/c1ccc(F)c(Cl)c1)NO,C9H7ClFN5O2,18265.0
5364,Ro 20-1724,CCCCOc1cc(CC2CNC(=O)N2)ccc1OC,C15H22N2O3,18272.0
5365,MI-192,C=C1CN(Cc2ccc(C(=O)Nc3ccccc3N)cc2)C(=O)c2ccccc21,C24H21N3O2,18288.0
5366,SR9243,Cc1cc(C)c(S(=O)(=O)N(CCc2cccc(Br)c2)Cc2ccc(-c3cccc(S(C)(=O)=O)c3)cc2)c(C)c1,C31H32BrNO4S2,18420.0
5367,Cytochalasin H,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23[C@H](OC(C)=O)/C=C/[C@](C)(O)C[C@@H](C)C/C=C/[C@H]3[C@@H]1O,C30H39NO5,18434.0
5368,SBI-0206965,CNC(=O)c1ccccc1Oc1nc(Nc2cc(OC)c(OC)c(OC)c2)ncc1Br,C21H21BrN4O5,18477.0
5369,Regorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,C21H15ClF4N4O3,18498.0
5370,"4-amino-1,8-Naphthalimide",Nc1ccc2c3c(cccc13)C(=O)NC2=O,C12H8N2O2,18509.0
5371,TLR4-C34,CC(=O)N[C@H]1[C@@H](OC(C)C)O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,C17H27NO9,18512.0
5372,NIAD-4,N#CC(C#N)=Cc1ccc(-c2ccc(-c3ccc(O)cc3)s2)s1,C18H10N2OS2,18520.0
5373,Y11,OCC[N+]12CN3CN(CN(C3)C1)C2.[Br-],C8H17BrN4O,18521.0
5374,ML-348,O=C(CN1CCN(C(=O)c2ccco2)CC1)Nc1cc(C(F)(F)F)ccc1Cl,C18H17ClF3N3O3,18523.0
5375,NBI 35965 (mesylate),CC[C@H]1Cn2nc(-c3ccc(Cl)cc3Cl)c3nc(C)cc(c32)N1CC1CC1.CS(=O)(=O)O,C22H26Cl2N4O3S,18524.0
5376,AZD 1480,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)n[nH]1,C14H14ClFN8,10702.0
5377,6-Shogaol,CCCCC/C=C/C(=O)CCc1ccc(O)c(OC)c1,C17H24O3,11901.0
5378,Adenosine-5'-diphosphate,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,C10H15N5O10P2,16778.0
5379,Niclosamide (ethanolamine salt),NCCO.O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,C15H15Cl2N3O5,17118.0
5380,OSI-027,COc1cccc2cc(-c3nc([C@H]4CC[C@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12,C21H22N6O3,17379.0
5381,Galantamine,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,C17H21NO3,17559.0
5382,APP-PICA,CCCCCn1cc(C(=O)N[C@@H](Cc2ccccc2)C(N)=O)c2ccccc21,C23H27N3O2,17613.0
5383,bk-EABDI (hydrochloride),CCNC(CC)C(=O)c1ccc2c(c1)CCC2.Cl,C15H22ClNO,17990.0
5384,Aspirin-d4,[2H]c1c([2H])c([2H])c(C(=O)O)c(OC(C)=O)c1[2H],C9H8O4,18243.0
5385,Genistein-d4,[2H]c1c([2H])c(-c2coc3cc(O)cc(O)c3c2=O)c([2H])c([2H])c1O,C15H10O5,18244.0
5386,Gabapentin-d4,[2H]C([2H])(N)C1(C([2H])([2H])C(=O)O)CCCCC1,C9H17NO2,18254.0
5387,Imatinib-d3,[2H]C([2H])([2H])N1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1,C29H31N7O,18257.0
5388,Primobolan Depot,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)C=C(C)[C@]4(C)[C@H]3CC[C@]12C,C27H42O3,17148.0
5389,"Estra-4,9,11-triene-3,17-dione",C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CCC2=O,C18H20O2,17366.0
5390,"[3,2-c]Pyrazole-androst-4-en-17.beta.-ol",C[C@]12CC[C@H]3[C@@H](CCC4=Cc5[nH]ncc5C[C@@]43C)[C@@H]1CC[C@@H]2O,C20H28N2O,17930.0
5391,PF-04217903,OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,C19H16N8O,17931.0
5392,"[3,2-c]Pyrazole-5.alpha.-androstan-17.beta.-ol",C[C@]12Cc3c[nH]nc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,C20H30N2O,17943.0
5393,Methasterone,C[C@@H]1C[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@]2(C)O)CC1=O,C21H34O2,17944.0
5394,"[3,2-c]Furazan-5.alpha.-androstan-17.beta.-ol",C[C@]12Cc3nonc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,C19H28N2O2,18083.0
5395,TH287,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,C11H10Cl2N4,18132.0
5396,TH588,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,C13H12Cl2N4,18133.0
5397,Mocetinostat,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,C23H20N6O,18287.0
5398,PF-06463922,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,C21H19FN6O2,18371.0
5399,TCS 1102,Cn1c(SCC(=O)N2CCC[C@@H]2C(=O)Nc2ccccc2-c2ccccc2)nc2ccccc21,C27H26N4O2S,18495.0
5400,ML-141,COc1ccc(C2CC(c3ccccc3)=NN2c2ccc(S(N)(=O)=O)cc2)cc1,C22H21N3O3S,18496.0
5401,S0859,Cc1ccc(CN(Cc2ccc(-c3ccccc3S(=O)(=O)NC#N)cc2)C(=O)c2ccccc2Cl)cc1,C29H24ClN3O3S,18497.0
5402,SB-271046 (hydrochloride),COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl,C20H23Cl2N3O3S2,18513.0
5403,CH5424802,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,C30H34N4O2,18516.0
5404,T16A(inh)-A01,CCc1c(C)[nH]c(SCC(=O)Nc2nc(-c3ccc(OC)cc3)cs2)nc1=O,C19H20N4O3S2,18518.0
5405,AC-5216,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,C23H23N5O2,18522.0
5406,ML-178,Clc1ccc(OCCOc2ccc(Br)nc2Br)c(Cl)c1,C13H9Br2Cl2NO2,18527.0
5407,(R)-Gyramide A (hydrochloride),Cc1ccc(F)cc1S(=O)(=O)N[C@@H]1CCN(Cc2ccc(OC(C)C)cc2)C1.Cl,C21H28ClFN2O3S,18528.0
5408,17.alpha.-Methyl-androstan-3-hydroxyimine-17.beta.-ol,C[C@]12CC/C(=N\O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,C20H33NO2,17367.0
5409,17.alpha.-Methyl-5.alpha.-androstan-17.beta.-ol,C[C@]12CCCC[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,C20H34O,17368.0
5410,"17.beta.-Hydroxy-androstano[3,2-c]isoxazole",C[C@]12Cc3conc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,C20H29NO2,17929.0
5411,"5.alpha.-Androstan-3,6,17-trione",C[C@]12CCC(=O)C[C@@H]1C(=O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,C19H26O3,17945.0
5412,4-hydroxy Androstenedione,C[C@]12CCC(=O)C(O)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,C19H26O3,18282.0
5413,Bioymifi,N=C1S/C(=C\c2ccc(-c3ccc4c(c3)C(=O)NC4=O)o2)C(=O)N1c1ccc(Br)cc1,C22H12BrN3O4S,14242.0
5414,ML-115,COc1cc(NC(=O)c2cc(C3CC3)on2)c(OC)cc1Cl,C15H15ClN2O4,15178.0
5415,Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,C15H10Cl2N2O2,15891.0
5416,Heroin-d3,[2H]C([2H])([2H])N1CC[C@]23c4c5ccc(OC(C)=O)c4O[C@H]2[C@@H](OC(C)=O)C=C[C@H]3[C@H]1C5,C21H23NO5,16192.0
5417,Heroin-d3 (exempt preparation),[2H]C([2H])([2H])N1CC[C@]23c4c5ccc(OC(C)=O)c4O[C@H]2[C@@H](OC(C)=O)C=C[C@H]3[C@H]1C5,C21H23NO5,22882.0
5418,MI-77301,CC(C)(C)C[C@@H]1N[C@@H](C(=O)NC2CCC(O)CC2)[C@H](c2cccc(Cl)c2F)C12C(=O)Nc1cc(Cl)ccc12,C29H34Cl2FN3O3,17473.0
5419,I-BRD9,CCn1cc(-c2cccc(C(F)(F)F)c2)c2sc(C(=N)NC3CCS(=O)(=O)CC3)cc2c1=O,C22H22F3N3O3S2,17749.0
5420,6-methoxy Methylone (hydrochloride),CNC(C)C(=O)c1cc2c(cc1OC)OCO2.Cl,C12H16ClNO4,18029.0
5421,BIIB021,COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C,C14H15ClN6O,18269.0
5422,MHY908,CC(C)(Oc1ccc(-c2nc3cc(Cl)ccc3s2)cc1)C(=O)O,C17H14ClNO3S,18293.0
5423,GDC-0980,Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,C23H30N8O3S,18303.0
5424,Diazepam-d8,[2H]c1c([2H])c([2H])c(C2=NCC(=O)N(C([2H])([2H])[2H])c3ccc(Cl)cc32)c([2H])c1[2H],C16H13ClN2O,18309.0
5425,Diazepam-d8 (exempt preparation),[2H]c1c([2H])c([2H])c(C2=NCC(=O)N(C([2H])([2H])[2H])c3ccc(Cl)cc32)c([2H])c1[2H],C16H13ClN2O,23786.0
5426,Cardamonin,COc1cc(O)cc(O)c1C(=O)/C=C/c1ccccc1,C16H14O4,18310.0
5427,WYE-125132,CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1,C27H33N7O4,18372.0
5428,RN-1 (hydrochloride),CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3ccccc3)cc2)CC1.Cl.Cl,C23H31Cl2N3O2,18124.0
5429,Acetaminophen-d4,[2H]c1c([2H])c(NC(C)=O)c([2H])c([2H])c1O,C8H9NO2,18245.0
5430,Acetaminophen-d4 (CRM),[2H]c1c([2H])c(NC(C)=O)c([2H])c([2H])c1O,C8H9NO2,22646.0
5431,Bupivacaine-d9,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])N1CCCCC1C(=O)Nc1c(C)cccc1C,C18H28N2O,18246.0
5432,Caffeine-d3,[2H]C([2H])([2H])n1c(=O)c2c(ncn2C)n(C)c1=O,C8H10N4O2,18247.0
5433,Caffeine-d3 (CRM),[2H]C([2H])([2H])n1c(=O)c2c(ncn2C)n(C)c1=O,C8H10N4O2,27971.0
5434,Biotin hydrazide,NNC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,C10H18N4O2S,18418.0
5435,Ginkgolic Acid C15:1,CCCCCC/C=C\CCCCCCCc1cccc(O)c1C(=O)O,C22H34O3,18422.0
5436,DOPAL,O=CCc1ccc(O)c(O)c1,C8H8O3,18448.0
5437,Patchouli Alcohol,C[C@H]1CC[C@@]2(O)C(C)(C)[C@@H]3CC[C@@]2(C)[C@H]1C3,C15H26O,18450.0
5438,Novobiocin (sodium salt),CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc([O-])c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C.[Na+],C31H35N2NaO11,18457.0
5439,Nicorandil,O=C(NCCO[N+](=O)[O-])c1cccnc1,C8H9N3O4,18460.0
5440,XL184,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,C28H24FN3O5,18464.0
5441,Temazepam-d8,[2H]c1c([2H])c([2H])c(C2=NC(O)C(=O)N(C([2H])([2H])[2H])c3ccc(Cl)cc32)c([2H])c1[2H],C16H13ClN2O2,18481.0
5442,Temazepam-d8 (exempt preparation),[2H]c1c([2H])c([2H])c(C2=NC(O)C(=O)N(C([2H])([2H])[2H])c3ccc(Cl)cc32)c([2H])c1[2H],C16H13ClN2O2,23789.0
5443,ME0328,C[C@H](NC(=O)CCc1nc(=O)c2ccccc2[nH]1)c1ccccc1,C19H19N3O2,18488.0
5444,NVP-BHG712,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,C26H20F3N7O,18489.0
5445,ASP3026,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncnc(Nc2ccccc2S(=O)(=O)C(C)C)n1,C29H40N8O3S,18491.0
5446,JNJ-7706621,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,C15H12F2N6O3S,18494.0
5447,Apremilast,CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,C22H24N2O7S,18502.0
5448,BX 471,C[C@@H]1CN(Cc2ccc(F)cc2)CCN1C(=O)COc1ccc(Cl)cc1NC(N)=O,C21H24ClFN4O3,18503.0
5449,4-Aminopyridine,Nc1ccncc1,C5H6N2,18511.0
5450,Lamivudine,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,C8H11N3O3S,18514.0
5451,Ciprofibrate,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,C13H14Cl2O3,18515.0
5452,BMS-777607,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,C25H19ClF2N4O4,18517.0
5453,3-MAPB (hydrochloride),CNC(C)Cc1coc2ccccc12.Cl,C12H16ClNO,9002299.0
5454,NVP-BEP800,CCNC(=O)c1cc2c(-c3cc(OCCN4CCCC4)c(Cl)cc3Cl)nc(N)nc2s1,C21H23Cl2N5O2S,18383.0
5455,MEAI (hydrochloride),COc1ccc2c(c1)CC(N)C2.Cl,C10H14ClNO,18286.0
5456,Menaquinone 4,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,C31H40O2,18423.0
5457,Azlocillin (sodium salt),CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+],C20H22N5NaO6S,18424.0
5458,Eltoprazine (hydrochloride),Cl.c1cc2c(c(N3CCNCC3)c1)OCCO2,C12H17ClN2O2,18428.0
5459,"3?,5?-THDOC",C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)CO)CC[C@@H]12,C21H34O3,18431.0
5460,4-methyl-1-Pentanol,CC(C)CCCO,C6H14O,18446.0
5461,all-trans Retinal,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,C20H28O,18449.0
5462,"(3S,5S)-Atorvastatin (sodium salt)",CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@H](O)C[C@H](O)CC(=O)[O-].[Na+],C33H34FN2NaO5,18465.0
5463,"10,11-dihydro-10-hydroxy Carbamazepine",NC(=O)N1c2ccccc2CC(O)c2ccccc21,C15H14N2O2,18467.0
5464,Iopromide,COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,C18H24I3N3O8,18470.0
5465,PF-562271 (besylate),CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O.O=S(=O)(O)c1ccccc1,C27H26F3N7O6S2,18499.0
5466,R788 (sodium salt),COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)([O-])[O-])C(=O)C(C)(C)O4)n2)cc(OC)c1OC.[Na+].[Na+],C23H24FN6Na2O9P,18501.0
5467,Trelagliptin,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O,C18H20FN5O2,18504.0
5468,TAPI-1,CC(C)CC(CC(=O)NO)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)N[C@@H](C)C(=O)NCCN,C26H37N5O5,18505.0
5469,Arphamenine B (hemisulfate),N=C(N)NCCC[C@H](N)C(=O)C[C@@H](Cc1ccc(O)cc1)C(=O)O.N=C(N)NCCC[C@H](N)C(=O)C[C@@H](Cc1ccc(O)cc1)C(=O)O.O=S(=O)(O)O,C32H50N8O12S,18506.0
5470,Buformin (hydrochloride),CCCCNC(=N)NC(=N)N.Cl,C6H16ClN5,18507.0
5471,Ledipasvir,COC(=O)N[C@H](C(=O)N1CC2(CC2)C[C@H]1c1ncc(-c2ccc3c(c2)C(F)(F)c2cc(-c4ccc5nc([C@@H]6[C@H]7CC[C@H](C7)N6C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c5c4)ccc2-3)[nH]1)C(C)C,C49H54F2N8O6,18519.0
5472,BMS-806,COc1ccnc2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)C[C@H]3C)c12,C22H22N4O4,18525.0
5473,GSK503,Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(N4CCN(C)CC4)nc3)cc3c2c(C)cn3C(C)C)c(=O)[nH]1,C31H38N6O2,18531.0
5474,CRT5,CCOc1ccc2cc(-c3cc(-c4cccc(C(=O)NCCN(C)C)c4)cnc3N)ccc2c1,C28H30N4O2,18532.0
5475,L-Selenocystine,N[C@@H](C[Se][Se]C[C@H](N)C(=O)O)C(=O)O,C6H12N2O4Se2,17793.0
5476,A-419259 (hydrochloride),CN1CCN([C@H]2CC[C@H](n3cc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)CC2)CC1.Cl.Cl.Cl,C29H37Cl3N6O,18168.0
5477,AZD 6482,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,C22H24N4O4,15250.0
5478,LDN57444,CC(=O)O/N=C1\C(=O)N(Cc2cc(Cl)ccc2Cl)c2ccc(Cl)cc21,C17H11Cl3N2O3,15396.0
5479,Bufalin,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)CC[C@]12O,C24H34O4,15725.0
5480,CAY10684,Cc1cc(Cl)ccc1-c1cccc(C(O)/C=C/[C@H]2CCC(=O)N2CCCCCCC(=O)O)c1,C27H32ClNO4,15966.0
5481,Celecoxib-d7,[2H]c1c([2H])c(C([2H])([2H])[2H])c([2H])c([2H])c1-c1cc(C(F)(F)F)nn1-c1ccc(S(N)(=O)=O)cc1,C17H14F3N3O2S,18248.0
5482,Daidzein-d4,[2H]c1c([2H])c(-c2coc3cc(O)ccc3c2=O)c([2H])c([2H])c1O,C15H10O4,18249.0
5483,.alpha.-Ecdysone,C[C@H]([C@H](O)CCC(C)(C)O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,C27H44O6,11711.0
5484,Norgestimate,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,C23H31NO3,16547.0
5485,9(S)-PAHSA,CCCCCCCCCCCCCCCC(=O)O[C@@H](CCCCCCCCC)CCCCCCCC(=O)O,C34H66O4,18023.0
5486,NASPM (hydrochloride),Cl.Cl.Cl.NCCCNCCCCNCCCNC(=O)Cc1cccc2ccccc12,C22H37Cl3N4O,18453.0
5487,FLT3 Inhibitor,COc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1OC,C18H20N2O4S,18462.0
5488,"N-(2,6-Dimethylphenyl)-2-(ethylmethylamino)acetamide (hydrochloride)",CCN(C)CC(=O)Nc1c(C)cccc1C.Cl,C13H21ClN2O,18463.0
5489,BCH,NC1(C(=O)O)CC2CCC1C2,C8H13NO2,15249.0
5490,4-Thiouracil,O=c1[nH]ccc(=S)[nH]1,C4H4N2OS,16952.0
5491,S18886,Cc1ccc2c(c1CCC(=O)O)CC[C@@H](NS(=O)(=O)c1ccc(Cl)cc1)C2,C20H22ClNO4S,14059.0
5492,CVT-10216,CS(=O)(=O)Nc1ccc(-c2coc3cc(OCc4cccc(C(=O)O)c4)ccc3c2=O)cc1,C24H19NO7S,18318.0
5493,?-acetyl-Boswellic Acid,CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)O,C32H50O4,11674.0
5494,WAY-161503,O=C1Nc2cc(Cl)c(Cl)cc2N2CCNCC12,C11H11Cl2N3O,17269.0
5495,Jacaric Acid,CCCCC/C=C\C=C\C=C/CCCCCCC(=O)O,C18H30O2,16036.0
5496,Cystamine (hydrochloride),Cl.Cl.NCCSSCCN,C4H14Cl2N2S2,14882.0
5497,CAY10698,COc1cccc(CNc2ccc(S(=O)(=O)Nc3nccs3)cc2)c1O,C17H17N3O4S2,18582.0
5498,NI-57,COc1cc(C#N)ccc1S(=O)(=O)Nc1ccc2c(c1)cc(C)c(=O)n2C,C19H17N3O4S,17662.0
5499,N-Isopropylnoratropine,CC(C)N1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,C19H27NO3,18611.0
5500,Thiodiglycolic Acid-d4,[2H]C([2H])(SC([2H])([2H])C(=O)O)C(=O)O,C4H6O4S,9002478.0
5501,Urodilatin,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@@H](N)[C@@H](C)O)CSSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)CNC1=O,C145H234N52O44S3,17400.0
5502,Temazepam-d5 (CRM),[2H]c1c([2H])c([2H])c(C2=NC(O)C(=O)N(C)c3ccc(Cl)cc32)c([2H])c1[2H],C16H13ClN2O2,18565.0
5503,Temazepam-d5,[2H]c1c([2H])c([2H])c(C2=NC(O)C(=O)N(C)c3ccc(Cl)cc32)c([2H])c1[2H],C16H13ClN2O2,15859.0
5504,Nordiazepam-d5 (CRM),[2H]c1c([2H])c([2H])c(C2=NCC(=O)Nc3ccc(Cl)cc32)c([2H])c1[2H],C15H11ClN2O,18346.0
5505,Nordiazepam-d5,[2H]c1c([2H])c([2H])c(C2=NCC(=O)Nc3ccc(Cl)cc32)c([2H])c1[2H],C15H11ClN2O,15831.0
5506,Diazepam-d5 (CRM),[2H]c1c([2H])c([2H])c(C2=NCC(=O)N(C)c3ccc(Cl)cc32)c([2H])c1[2H],C16H13ClN2O,18548.0
5507,Norfentanyl-d5,[2H]c1c([2H])c([2H])c(N(C(=O)CC)C2CCNCC2)c([2H])c1[2H],C14H20N2O,15832.0
5508,Norfentanyl-d5 (CRM),[2H]c1c([2H])c([2H])c(N(C(=O)CC)C2CCNCC2)c([2H])c1[2H],C14H20N2O,18729.0
